_id,ground_state.globular_volume,ground_state.homo_lumo_gap,ground_state.dipole_moment,ground_state.solvation_energy,cation1.globular_volume,cation1.homo_lumo_gap,cation1.dipole_moment,cation1.solvation_energy,cation2.globular_volume,cation2.homo_lumo_gap,cation2.dipole_moment,cation2.solvation_energy
05QDYA,,,,,186.504,8.497848106000001,4.745705028760216,-2.1679267685067316,,7.071426517999999,0.015013660446406799,
05DIRJ,,,,,428.48,10.056789211999998,2.1480564354783604,-10.168711604994314,,3.015567348000003,0.010867382389517725,
05RPNH,,,,,570.952,8.287503984,3.098900167801473,-1.2831957446760498,570.368,4.058036082000002,2.7399000091244203,-0.010326454183086753
05MXLE,,,,,306.992,7.58925946,4.596965858041584,-1.327237667683221,,3.6827908760000003,0.7790909125384533,
05AWCY,,,,,493.936,5.869771094000001,13.54341768461713,1.4894546191790141,,,,
05OKDT,,,,,337.504,7.488305166,2.4059036181858993,-0.4134448414260987,,3.442514214000001,2.5845652574465983,
05JZJR,,,,,408.208,4.053954372,24.919210064927825,-4.621508800424635,,3.143188814,0.0003605551275463989,
05POEN,,,,,363.072,10.263051624000001,6.24531938174502,-1.46731025398185,362.888,4.947848861999999,3.214892685611761,-2.336539514682954
05CKZO,,,,,389.088,7.267348598,4.482148932152969,-0.17043805967114167,,3.1050928540000005,4.973891270423993,
05XJXO,,,,,310.448,10.881566746,5.6608,-0.6799926407184103,344.408,5.4289464139999986,3.443100013069617,-3.1197620027232915
05WOBI,,,,,324.872,6.918226335999999,0.7874477252491113,-2.306786705976265,,4.284434929999998,2.4246000329951327,
05SMPN,,,,,597.056,5.459423182000002,13.617890697534623,1.1358974432223476,,1.75377473,0.4230456831123561,
05JNUA,,,,,460.248,8.467915566,0.0037134889255254285,-1.273029837742797,458.608,5.032748430000001,0.0009848857801796104,-0.6244833983655553
05MNXL,,,,,220.504,8.816493600000001,1.0402807409540944,-0.8692692614495172,,5.161730466000002,0.0007810249675906653,
05DUQU,,,,,238.504,7.480958088000001,0.0008602325267042626,-0.09587430657848017,242.176,6.477673770000001,0.0010862780491200216,-3.856817275776848
05VEUX,,,,,316.936,7.097821576,1.87345236662158,-0.4192441349987348,,4.165248997999999,2.0108448000778183,
05XICU,,,,,20.192,25.025236124000003,2.34,-3.4728554746702684,21.624,17.585095136000003,2.664000001876877,
05PNOK,,,,,306.152,7.725860688,6.72750757561818,4.21941301759216,,4.403348748,8.687586592949737,
05PTMH,,,,,241.808,8.088316536,1.3541612680918031,4.408662045967503,,4.612060186000001,0.628398289303846,
05TRCY,,,,,239.552,8.478800126,7.426718886560875,-0.6008062149921898,,5.456974155999998,12.401955078534996,
05JHCB,,,,,430.088,7.199592212,8.543115422959003,1.292685992535553,,2.5510687500000007,5.902984683192054,
05UYEV,,,,,326.272,7.303539760000001,8.52171635294205,-1.8554702625406208,,4.905126964000001,11.999557189329947,
05BCMO,,,,,271.888,7.371024032,6.661867669805519,-0.48892164584685815,,4.950570001999999,8.585721032621546,
05PJTD,,,,,340.712,6.50488517,5.50379111976463,1.2384504069705145,,2.6835882679999994,2.253878705698246,
05MJZZ,,,,,246.72,7.237416058,6.1099845245303195,-0.8643731142801698,,4.6833540540000005,7.255766826462934,
05KFIE,,,,,238.008,7.349254912,4.930131071279951,-0.8684779539398733,,4.869480029999999,5.199646119689301,
05KCEN,,,,,244.464,7.519598276,6.349551456599119,-1.2516498407640029,,5.105947096000001,5.399850642378916,
05PESY,,,,,241.64,6.597676044,2.2579452562008675,-0.36782356875846745,,4.3666133579999995,1.4643579173139332,
05FYOH,,,,,258.616,7.360139472,2.9717203418222247,-1.5767901517174323,,4.772607446000001,1.5319060317134336,
05XIVB,,,,,327.088,7.256464038000001,5.349605552748725,0.5625113396599772,,3.928509818000001,11.81722400100802,
05HONX,,,,,306.992,7.783276742,7.916019975972774,-4.105999711980985,,5.2711202939999975,1.692628969975405,
05NLZW,,,,,207.552,7.669260976,1.678419941492593,-0.6362157839539577,,5.065674224000001,0.7617690594924422,
05WEXS,,,,,225.064,6.859721826,1.1763205813042634,0.2779263550437463,,4.357361481999999,1.5387659243692655,
05DLTF,,,,,293.096,7.734568335999999,4.886100634452794,-0.4220629639312392,,3.6504093099999997,13.564547480472765,
