_id,smiles
90CCCE,CCN(CC)CC
90BITJ,CC(C)c1cccc(C(C)C)c1N
90EODC,COc1cccc(N)c1
90AJLB,c1ccc(N2CCOCC2)cc1
90ZTYW,C1CCNC1
90AUFT,c1ccc(Nc2ccccc2)cc1
90DTUJ,C1CCNCC1
90LBRE,Nc1ccccc1
90LWOU,CC(C)NC(C)C
90ETKY,C1CCC2=NCCCN2CC1
90JLTN,COc1ccc(S)cc1
90TEBB,Sc1ccc(S)cc1
90OSZA,COc1ccc(SSc2ccc(OC)cc2)cc1
90SHDL,Sc1ccc2ccccc2c1
90WUBR,Cc1cccc(C)c1S
90OLZP,CSc1ccccc1
90WMUL,Cc1ccc(SSc2ccc(C)cc2)cc1
90VCWV,Sc1ccccc1
90XDNP,c1ccc(SSc2ccccc2)cc1
90WKVR,S=c1[nH]c2ccccc2[nH]1
90ECOA,COc1ccc2cc[nH]c2c1
90ZMAO,Nc1nccs1
90MGOE,COc1cccc2[nH]ccc12
90DSHI,S=c1[nH]c2ccccc2s1
90NWEA,COc1ccc2[nH]ccc2c1
90QOXN,Cn1cccc1
90KCHF,S=c1[nH]c2ccccc2o1
90GMCE,c1c[nH]cn1
90OJYD,c1ccc2[nH]ccc2c1
90PKQP,c1ccc2sccc2c1
90URPH,OCc1ccco1
90HEZN,c1ccc2occc2c1
90SSVY,c1ccoc1
90OUZA,c1ccc2ncccc2c1
90PVPY,c1cn[nH]c1
90OAGN,Brc1ccc(I)cc1
90BKRM,Clc1ccc(I)cc1
90BOFO,Ic1ccccc1
90LDWQ,Brc1ccccc1
90TUEV,Clc1ccccc1
90JXRP,O=Cc1ccc(O)cc1
90NZDY,COc1ccc(C=O)cc1
90QOAH,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
90NBGA,Cc1ccc(N=Cc2ccccc2)cc1
90TFXH,COc1cccc(N=Cc2ccccc2)c1
90GZWV,Fc1ccc(N=Cc2ccccc2)cc1
90MLQB,C(=Nc1ccccc1)c1ccccc1
90JJCA,ON=Cc1ccccc1
90WRQW,CC(=O)C1CCCCC1
90IRLX,CN1CCCN(C)C1=O
90PVJV,CN(C)C=O
90EPGK,O=C1CCCCN1
90PRHS,CCCC[N+](CCCC)(CCCC)CCCC.[Br-]
90UGFC,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-]
06AKSB,C=CC=CC
06ESQE,c1ccc(-c2ccccc2)cc1
06WUXM,C1=CC2Sc3ccccc3N(c3ccccc3)C2C=C1
90MOMH,Cc1cc(C(F)(F)F)ccc1N(c1ccccc1)c1ccc(C(F)(F)F)cc1C
90WROC,FC(F)(F)c1ccc(N(c2ccc(-c3ccccc3)cc2)c2ccc(C(F)(F)F)cc2)cc1
90LPMI,FC(F)(F)c1ccc(N(c2ccc(N(c3ccc(C(F)(F)F)cc3)c3ccc(C(F)(F)F)cc3)cc2)c2ccc(C(F)(F)F)cc2)cc1
90JCLK,Cc1cc(C(F)(F)F)ccc1N(c1ccc(-c2ccccc2)cc1)c1ccc(C(F)(F)F)cc1C
90QDBN,FC(F)(F)c1ccc(N(c2ccc(-c3ccc(N(c4ccc(C(F)(F)F)cc4)c4ccc(C(F)(F)F)cc4)cc3)cc2)c2ccc(C(F)(F)F)cc2)cc1
90NCLQ,Cc1cc(C(F)(F)F)ccc1N(c1ccc(N(c2ccc(C(F)(F)F)cc2C)c2ccc(C(F)(F)F)cc2C)cc1)c1ccc(C(F)(F)F)cc1C
90PNAB,FC(F)(F)c1ccc(N(c2ccccc2)c2ccc(C(F)(F)F)cc2)cc1
90TRQT,COc1ccc(N(c2ccccc2)c2ccc(OC)cc2)cc1
90PSTI,COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1
90MOFW,Cc1cc(C(F)(F)F)ccc1N(c1ccc(-c2ccc(N(c3ccc(C(F)(F)F)cc3C)c3ccc(C(F)(F)F)cc3C)cc2)cc1)c1ccc(C(F)(F)F)cc1C
05UXMH,COCc1cc(C(F)(F)F)ccc1C(c1ccc(C(c2ccc(C(F)(F)F)cc2COC)c2ccc(C(F)(F)F)cc2COC)cc1)c1ccc(C(F)(F)F)cc1COC
05AATS,CC1=CS(=O)(=O)N(c2ccc(Cl)cc2)C(C)=C1
05UBTG,N#CC1=C(N2CCCCC2)C=C(c2ccc(Br)cc2)C1=O
05YOFP,N#CC(C#N)=C(CC1C=CC=CC=C1)c1ccccc1
05SEUE,N#CC1(C#N)C(c2ccccc2)=CC2=CC=CC=CC21
05VWQB,COC(=O)C1=CC(c2c(C)c(C)c(C)c(C)c2C)=CC2=C(C)C(C)=C(C)C(C)=C(C)C2=C1C(=O)OC
05NBTP,COC1=CC(=O)c2cc(C)oc2C1=O
05SFER,CCC1=C(C)C2=Cc3ccccc3B(O)N2C1=O
05ZZOQ,COC(=O)C1=CC(c2c(C)c(C)c(C)c(C)c2C)=CC2=C(C)C=C(C)C=C(C)C2=C1C(=O)OC
05ZVFK,COC(=O)C1C=Cc2cc(O)ccc2O1
05RUCD,O=CN1CCC2(C=CC(O)C=C2)c2cc3c(cc2C1)OCO3
05PFGZ,COC(=O)C1=C(C(=O)OC)C2(OCC(C)(C)CO2)C(c2ccccc2)=C1
05QCKY,CC1(C)Cc2ccccc2C(N2CCOCC2)=N1
05YHRH,CCC1=CC(c2ccccc2)=C(S(=O)(=O)C(F)(F)F)C12OCC(C)(C)CO2
05JYMY,COC(=O)C1=C(C(=O)OC)C2(OCC(C)(C)CO2)C(c2ccc(OC)cc2)=C1
05JATY,COc1ccc(C2C3=C(CCCC3=O)NC3=C2C(=O)CCC3)cc1
05CLZH,CCOC(=O)C(C#N)=C1NC=Nc2ccccc21
05RMVV,CCOC(=O)C(C#N)=C1NC(C)=Nc2ccccc21
05OMSL,CC1(C)CC(=O)C2=C(C1)OC1=C(C(=O)CC(C)(C)C1)C2c1ccc(Cl)cc1
05GVJH,COC(C)(C)C1=CCC2(C)CN(S(=O)(=O)c3ccc(C)cc3)C(C)(C)C2=C1
05PSHU,O=C1CCCC2(O)Oc3ccccc3C=C12
05OVEF,Cn1c2c(c(=O)n(C)c1=O)C1=C3C=CC=CC(=CC=CC1=N2)C3
05XSFC,CCOC(=O)C(=CC1OC=Cc2ccccc21)CC(C)=O
05PNFJ,COC(=O)C1=C(C(=O)OC)SC(=CC#Cc2ccc(C3=CC4=CC=CC=CC4C3(C#N)C#N)cc2)S1
